area,name,block,direction,streetName,streetType,side,postedRestrictions,exclusions
1,Oakenshaw,3400,,Barclay ,St.,Both,"""Two Hour Parking, Monday through Friday, except with Area #1 Permit""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
1,Oakenshaw,3501,,Barclay ,St.,Only,"""Two Hour Parking, Monday through Friday, except with Area #1 Permit""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
1,Oakenshaw,300,,Birkwood ,Pl.,Both,"""Two Hour Parking, Monday through Friday, except with Area #1 Permit""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
1,Oakenshaw,400,,Bretton ,Pl.,Both,"""Two Hour Parking, Monday through Friday, except with Area #1 Permit""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
1,Oakenshaw,3400,N ,Calvert ,St.,Odd,"""Two Hour Parking, Monday through Friday, except with Area #1 Permit""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
1,Oakenshaw,3500,N ,Calvert ,St.,Both,"""Two Hour Parking, Monday through Friday, except with Area #1 Permit""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
1,Oakenshaw,400,,Calvin ,Ave.,Both,"""Two Hour Parking, Monday through Friday, except with Area #1 Permit""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
1,Oakenshaw,Unit,,Chancery ,Sq.,Both,"""Two Hour Parking, Monday through Friday, except with Area #1 Permit""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
1,Oakenshaw,200,,Chancery ,Rd.,Odd,"""Two Hour Parking, Monday through Friday, except with Area #1 Permit""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
1,Oakenshaw,3400,,Guilford ,Terr.,Both,"""Two Hour Parking, Monday through Friday, except with Area #1 Permit""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
1,Oakenshaw,200,,Homewood ,Terr.,Both,"""Two Hour Parking, Monday through Friday, except with Area #1 Permit""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
1,Oakenshaw,3500,,Newland ,Rd.,Both,"""Two Hour Parking, Monday through Friday, except with Area #1 Permit""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
1,Oakenshaw,3400,,Oakenshaw ,Pl.,Both,"""Two Hour Parking, Monday through Friday, except with Area #1 Permit""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
1,Oakenshaw,200,,Southway,,Both,"""Two Hour Parking, Monday through Friday, except with Area #1 Permit""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
1,Oakenshaw,300,,Southway,,Both,"""Two Hour Parking, Monday through Friday, except with Area #1 Permit""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
1,Oakenshaw,400,,Southway,,Both,"""Two Hour Parking, Monday through Friday, except with Area #1 Permit""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
1,Oakenshaw,300,,Suffolk ,Rd.,Both,"""Two Hour Parking, Monday through Friday, except with Area #1 Permit""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
1,Oakenshaw,3400,,University,Pl.,Both,"""Two Hour Parking, Monday through Friday, except with Area #1 Permit""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
1,Oakenshaw,200,E,University ,Pkwy.,Even,"""Two Hour Parking, Monday through Friday, except with Area #1 Permit""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
1,Oakenshaw,300,E,University ,Pkwy.,Both,"""Two Hour Parking, Monday through Friday, except with Area #1 Permit""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
1,Oakenshaw,332,E,University ,Pkwy.,Only,"""Two Hour Parking, Monday through Friday, except with Area #1 Permit""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,1500,,Arlington ,Ave.,Odd,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,1600,,Arlington ,Ave.,Odd,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,1700,,Burnwood,Rd.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,1800,,Burnwood,Rd.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,1900,,Burnwood,Rd.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,2000,,Burnwood,Rd.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,1500,E,Coldspring ,Ln.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,1600,E,Coldspring ,Ln.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,4400,,Fenwick ,Ave.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,4500,,Fenwick ,Ave.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,4600,,Fenwick ,Ave.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,4700,,Fenwick ,Ave.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,1600,,Hartsdale ,Rd.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,1700,,Hartsdale ,Rd.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,1700,,Heathfield,Rd.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,1800,,Heathfield,Rd.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,1900,,Heathfield,Rd.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,5001-5013,,Hillen,Rd.,Odd,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,1700,,Hillenwood,Rd.,Even,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
